id,z_2017_81Sites,zbar_2017_81Sites,x_2017_81Sites,gamma_81Sites,theta_81Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,siteArea_ha_81Sites,amazonBiomeArea_ha_81Sites,forestArea_1995_ha_81Sites,otherArea_1995_ha_81Sites,z_1995_81Sites,zbar_1995_81Sites,forestArea_2017_ha_81Sites,otherArea_2017_ha_81Sites,gamma2010_81Sites,gamma2017_81Sites,gamma2018_81Sites,gammaSD_81Sites,alpha_81Sites,kappa_81Sites,zeta_81Sites,zeta_alt_81Sites,theta2017_81Sites,theta2006_81Sites,thetaSD_81Sites,p_2017_81Sites
1,480.29264781657685,177645.2737081087,98466055.73418818,555.7873522458628,0.009565399189304614,1,1,15598.556360019364,7223078.625,177988.20641312608,178060.57204880752,225.77726069978337,138.8851692546923,178199.45721806222,177164.9810602921,779.9604979466212,518.7241134751773,576.0762411347517,572.5617021276595,32.145773396167165,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.014632448765671437,0.00449834961293779,0.007165890232114808,44.758760469833035
2,5713.628934761566,3205198.8598349695,1887511247.519922,589.9421660992795,0.024842121393235703,0,0,238995.79930634468,7223078.625,3225844.4510228573,3202919.011672263,13942.94945323611,9699.928055032411,3212618.9397272957,3199485.230900208,21360.696243570128,549.2990196078431,611.4641655450874,609.063313144908,35.218461644500195,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.03188985185132374,0.017794390935147668,0.009966995997778045,44.758760469833035
3,147689.3937465045,1368030.8055876978,656310434.2522517,537.8088688001186,0.10131813476955119,0,0,351254.1013769329,7223078.625,4732369.236540991,1254591.9906949294,3401945.967952776,77469.73470032444,1332061.7253952539,1220341.4118411932,3365972.256081546,513.9071903087143,550.131715210356,549.3877008812856,20.702803321297083,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.17149646525092474,0.031139804288177645,0.09924714675145965,44.758760469833035
4,36.420808924978246,103470.53356813421,76842453.70987368,742.9120979532163,1.2886306411819086,0,0,157.75379731829642,7223078.625,104670.27725209482,103617.37917896127,1104.0503386365162,118.18909027787959,103735.56826923916,103434.11275920924,1369.2617091866778,717.3399122807017,764.6507675438596,746.7456140350877,23.887258959439947,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.7717487521083772,0.8055125302554401,0.6832321847002812,44.758760469833035
5,9344.426290023148,1215945.072311783,778617618.9140328,645.298526468708,1.413958893724415,0,0,12620.86287249219,7223078.625,1593388.0984099212,1220370.2902810886,363785.94730884756,9644.17598928688,1230014.4662703755,1206600.6460217598,377872.0176747387,615.2898402990146,660.657960199005,659.9477789081044,25.990710332537017,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.78819652104881,1.0397212664000197,0.5292519281124876,44.758760469833035
6,577.0929400978703,827842.6730102487,429253681.16484976,518.8825590065644,0.009565399189304612,1,1,0.2174197579602996,7237882.75,835019.24706884,827007.3445222054,8125.834172074428,844.8093136857351,827852.1538358912,827265.5800701508,8132.98579215894,492.5981473312748,532.5817166372722,531.4678130511463,22.769780810031367,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.014632448765671435,0.00449834961293779,0.007165890232114806,44.758760469833035
7,1350.8120472429541,3933940.238911268,1827795249.7280474,464.78161112933446,0.009565399189304612,1,1,1.034162603588716,7237882.75,3983245.556923447,3929868.5479356144,51359.897958765294,3137.866169802234,3933006.4141054167,3932589.4268640247,50431.98849593934,452.3829499117521,472.0274736970139,469.93440977923734,10.788434971406165,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.014632448765671435,0.00449834961293779,0.007165890232114806,44.758760469833035
8,3758.080485774173,1812371.995813367,959471898.7406912,530.5012256122683,0.014851242361507262,0,0,18.030067784605183,7237882.75,1822582.1094058678,1808048.915841837,13298.87401217706,2141.925146230248,1810190.8409880672,1808613.9153275928,11097.440175622323,510.03768976897686,541.7423792557403,539.7236078120876,17.750664323981802,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.025204135110076735,0.00449834961293779,0.014641201334821016,44.758760469833035
9,8963.86542448523,6085749.816471196,3299756041.8914084,543.0100827104226,0.17601317430316946,0,0,104002.84030650847,7237882.75,6526321.212691154,6115265.563943218,401373.97988591506,10509.564315374555,6125775.128258593,6076785.951046711,441399.8327137076,511.1521545847904,559.9882474837182,557.889846062759,27.609717681901916,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.08408243920226928,0.26794390940406965,0.1300096923786214,44.758760469833035
10,625307.1947267982,5610324.102973549,2455361689.4492702,492.5483172158047,0.29143222797818075,0,0,325426.2379460942,7237882.75,6682585.851461271,5462962.213844864,1046727.5032953465,173339.82881296703,5636302.042657831,4985016.90824675,1072712.2876457947,489.2135089579425,495.80890243902434,492.6225402504472,3.2983231477112467,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.1802500342106688,0.40261442174569273,0.15723536632040883,44.758760469833035
