id,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,gamma_25Sites,theta_25Sites,gammaSD_25Sites,thetaSD_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,amazonBiomeArea_ha_25Sites,siteArea_ha_25Sites,forestArea_1995_ha_25Sites,z_1995_25Sites,zbar_1995_25Sites,forestArea_2017_ha_25Sites,gamma2010_25Sites,gamma2017_25Sites,gamma2018_25Sites,alpha_25Sites,kappa_25Sites,zeta_25Sites,zeta_alt_25Sites,theta2017_25Sites,theta2006_25Sites,p_2017_25Sites
1,577.0929400978703,827842.6730102487,429227979.9689601,518.8514913585094,0.009565399189304612,22.65390799043248,0.007165890232114805,1,1,0.21894615014596533,835019.24706884,28921922.75,827007.3445222054,844.8093136857351,827852.1538358912,827265.5800701508,492.7008922041831,532.4828216374269,531.3707602339181,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.014632448765671434,0.00449834961293779,44.758760469833035
2,5589.185180833704,5923957.508432743,2885460435.558053,487.54323454688375,0.009571445310564575,13.627253740342539,0.007174440738800398,0,0,15890.10263296048,5983815.8727424415,28921922.75,5915978.035826258,5418.676485287174,5921396.712311545,5918368.32325191,471.85536270583,496.44549571405463,494.3288452207666,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.014644541008191361,0.00449834961293779,44.758760469833035
3,787674.0828325496,16269303.58486741,8325131123.126541,537.7425626955037,0.14553405443960638,21.349175694539966,0.018122881764144817,0,0,1019451.8917082429,21167120.751716275,28921922.75,16035738.780155277,271019.0558836985,16306757.836038975,15481629.502034862,513.1296798252098,551.2497540822349,548.8482541790665,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.13271924184953757,0.1583488670296752,44.758760469833035
4,9646.86174464566,8317106.10191384,5082112478.999709,611.75292373703,1.2220861734605812,33.30934455469499,0.08629465079387766,0,0,116488.11200548601,8842695.163339837,28921922.75,8300092.306773948,10191.917448815513,8310284.224222763,8307459.240169194,573.2969059725932,631.5838073486742,630.3780578898226,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.1610666407041053,1.2831057062170572,44.758760469833035
5,128634.50305749544,11492722.447467552,7933747087.93511,698.1420001978851,1.4383826863712428,32.70939544977645,0.36328833367109964,0,0,453165.27510693966,13137913.82653348,28921922.75,11344707.958892148,84274.64524978033,11428982.604141928,11364087.944410058,660.6755423720973,721.0108009190305,712.7396573025275,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.6952663306360385,1.181499042106447,44.758760469833035
6,16248.65368515371,3641993.1190672847,2157656868.821774,595.0934737466035,0.41019621940825274,20.615635215858813,0.5118994312932656,0,0,571.5543281987076,3741019.2315529953,28939360.5,3630264.734758855,16582.060745840346,3646846.7955046953,3625744.465382131,571.2905306361771,607.2582698443706,606.7316207592628,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.048228660255247385,0.7721637785612581,44.758760469833035
7,77127.05958015787,27941871.289380487,15084226750.912836,541.3373482459891,0.6033195436985359,10.318881532002136,0.6639596832916481,0,0,5451.497869469931,28939360.5,28939360.5,27921953.76698534,61927.124465827255,27983880.891451165,27864744.22980033,529.6243017893851,549.0866797320319,545.3010632165502,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.1338291492085391,1.0728099381885328,44.758760469833035
8,413615.3758627868,26031526.108376425,12861932265.9909,502.0679633201643,1.1298286504650057,7.755623803315761,0.6102361170929957,0,0,174329.30604920554,28939360.5,28939360.5,26051629.69054895,188282.21130612583,26239911.901855074,25617910.732513636,493.157199550551,507.2969196100337,505.7497707999083,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.6983265539436004,1.561330746986411,44.758760469833035
9,1415637.311141416,26494123.956564173,14745302314.015081,587.9661927968187,1.680309227060863,14.955058211893121,0.4050951979007461,0,0,784071.5843242478,28939360.5,28939360.5,25596087.14585167,937833.4460142598,26533920.59186593,25078486.645422757,570.7466154103292,597.7022061986085,595.4497567815184,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.393863665599139,1.9667547885225871,44.758760469833035
10,2975490.4028124437,25883433.48511094,14331431160.00672,625.609689552658,1.9553579746182728,17.156213507943544,0.29090205048159795,0,0,2182829.264264777,28922502.584513273,28939360.5,24831588.616439566,1156831.1257173251,25988419.742156893,22907943.082298495,605.8821120451116,637.0395805358398,633.9073760770224,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.7496591620616635,2.161056787174882,44.758760469833035
11,7911410.245586968,18981310.077376597,5281137321.588669,477.07182556636445,1.7304977582369783,13.730081418838633,0.1421080685250929,0,0,3744687.379301079,22282205.25645397,28939360.5,14049327.531278573,5070403.426542057,19119730.95782063,11069899.831789628,492.74314315370947,467.1571069911162,471.3152265542676,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1.830983337152394,1.6300121793215625,44.758760469833035
