date,year,month,discrete_2prices,price_real_mon_cattle
1995-01-01,1995,1,44.758760469833035,51.23730574012726
1995-02-01,1995,2,44.758760469833035,50.20119677630923
1995-03-01,1995,3,44.758760469833035,47.28271195677688
1995-04-01,1995,4,44.758760469833035,44.38513263158148
1995-05-01,1995,5,44.758760469833035,42.819169125996936
1995-06-01,1995,6,44.758760469833035,41.22449909579621
1995-07-01,1995,7,44.758760469833035,44.73414616085825
1995-08-01,1995,8,44.758760469833035,45.80465690988113
1995-09-01,1995,9,44.758760469833035,44.86701954604009
1995-10-01,1995,10,44.758760469833035,45.424255149984624
1995-11-01,1995,11,44.758760469833035,46.47174122854755
1995-12-01,1995,12,44.758760469833035,41.37908519879388
1996-01-01,1996,1,44.758760469833035,40.0899092001224
1996-02-01,1996,2,44.758760469833035,40.653123806227946
1996-03-01,1996,3,44.758760469833035,39.987138336243945
1996-04-01,1996,4,44.758760469833035,40.59290860753327
1996-05-01,1996,5,44.758760469833035,39.1665168217467
1996-06-01,1996,6,44.758760469833035,39.08400779771128
1996-07-01,1996,7,44.758760469833035,42.09188273422337
1996-08-01,1996,8,44.758760469833035,43.35436411809161
1996-09-01,1996,9,44.758760469833035,42.826632690720004
1996-10-01,1996,10,44.758760469833035,44.21699715193827
1996-11-01,1996,11,44.758760469833035,41.09714366042806
1996-12-01,1996,12,44.758760469833035,39.862286960677174
1997-01-01,1997,1,44.758760469833035,39.54800827634701
1997-02-01,1997,2,44.758760469833035,40.32225738488871
1997-03-01,1997,3,44.758760469833035,40.095254636167525
1997-04-01,1997,4,44.758760469833035,40.894422963737476
1997-05-01,1997,5,44.758760469833035,39.88196397356765
1997-06-01,1997,6,44.758760469833035,39.99418757386009
1997-07-01,1997,7,44.758760469833035,42.37678628362174
1997-08-01,1997,8,44.758760469833035,42.54490452662545
1997-09-01,1997,9,44.758760469833035,41.65670805197947
1997-10-01,1997,10,44.758760469833035,42.42914371984157
1997-11-01,1997,11,44.758760469833035,42.50336037862814
1997-12-01,1997,12,44.758760469833035,42.55810477372473
1998-01-01,1998,1,44.758760469833035,42.13902268541191
1998-02-01,1998,2,44.758760469833035,41.98160958065758
1998-03-01,1998,3,44.758760469833035,42.41630565755806
1998-04-01,1998,4,44.758760469833035,42.554060830849245
1998-05-01,1998,5,44.758760469833035,41.44269279227516
1998-06-01,1998,6,44.758760469833035,40.97202462256401
1998-07-01,1998,7,44.758760469833035,42.26432949461077
1998-08-01,1998,8,44.758760469833035,43.75982362042401
1998-09-01,1998,9,44.758760469833035,46.136498388589445
1998-10-01,1998,10,44.758760469833035,46.10487029144383
1998-11-01,1998,11,44.758760469833035,45.86065783973108
1998-12-01,1998,12,44.758760469833035,45.22450584286506
1999-01-01,1999,1,44.758760469833035,45.0591438019405
1999-02-01,1999,2,44.758760469833035,45.626857674242906
1999-03-01,1999,3,44.758760469833035,44.4685903495537
1999-04-01,1999,4,44.758760469833035,43.340149838011975
1999-05-01,1999,5,44.758760469833035,41.625951361204145
1999-06-01,1999,6,44.758760469833035,41.233948160489504
1999-07-01,1999,7,44.758760469833035,43.259047671287306
1999-08-01,1999,8,44.758760469833035,43.81197604758994
1999-09-01,1999,9,44.758760469833035,45.245116060285255
1999-10-01,1999,10,44.758760469833035,49.58056629381187
1999-11-01,1999,11,44.758760469833035,50.43806625184419
1999-12-01,1999,12,44.758760469833035,48.420164949454104
2000-01-01,2000,1,44.758760469833035,48.67056282807999
2000-02-01,2000,2,44.758760469833035,48.24482498829071
2000-03-01,2000,3,44.758760469833035,45.78930517595933
2000-04-01,2000,4,44.758760469833035,45.874026790413836
2000-05-01,2000,5,44.758760469833035,44.40724705904134
2000-06-01,2000,6,44.758760469833035,45.403865805555284
2000-07-01,2000,7,44.758760469833035,45.72420891548401
2000-08-01,2000,8,44.758760469833035,46.94484402757849
2000-09-01,2000,9,44.758760469833035,46.451572902224406
2000-10-01,2000,10,44.758760469833035,47.36912853201948
2000-11-01,2000,11,44.758760469833035,46.82084906986824
2000-12-01,2000,12,44.758760469833035,45.00267874271266
2001-01-01,2001,1,44.758760469833035,43.736521002111694
2001-02-01,2001,2,44.758760469833035,42.35869995936979
2001-03-01,2001,3,44.758760469833035,42.73532719105151
2001-04-01,2001,4,44.758760469833035,43.620020061454944
2001-05-01,2001,5,44.758760469833035,42.907825372622916
2001-06-01,2001,6,44.758760469833035,41.99403420138485
2001-07-01,2001,7,44.758760469833035,41.746038244701815
2001-08-01,2001,8,44.758760469833035,43.343992367606774
2001-09-01,2001,9,44.758760469833035,43.51643548507715
2001-10-01,2001,10,44.758760469833035,44.99649203689267
2001-11-01,2001,11,44.758760469833035,44.292541473558195
2001-12-01,2001,12,44.758760469833035,44.09772458919614
2002-01-01,2002,1,44.758760469833035,44.052964827430664
2002-02-01,2002,2,44.758760469833035,43.87908751844624
2002-03-01,2002,3,44.758760469833035,43.114799773101566
2002-04-01,2002,4,44.758760469833035,42.04724228051312
2002-05-01,2002,5,44.758760469833035,40.916490117988246
2002-06-01,2002,6,44.758760469833035,40.124503226093324
2002-07-01,2002,7,44.758760469833035,39.455091766709444
2002-08-01,2002,8,44.758760469833035,42.06263192444865
2002-09-01,2002,9,44.758760469833035,41.657053812380184
2002-10-01,2002,10,44.758760469833035,41.04680809602641
2002-11-01,2002,11,44.758760469833035,42.07935653587699
2002-12-01,2002,12,44.758760469833035,40.753633312337406
2003-01-01,2003,1,44.758760469833035,39.680856642858345
2003-02-01,2003,2,44.758760469833035,38.99924220504694
2003-03-01,2003,3,38.299887568435366,38.02487288268982
2003-04-01,2003,4,38.299887568435366,37.340719332217645
2003-05-01,2003,5,38.299887568435366,36.574521195150425
2003-06-01,2003,6,38.299887568435366,37.34300751442694
2003-07-01,2003,7,38.299887568435366,39.23110342224861
2003-08-01,2003,8,38.299887568435366,40.368833942710936
2003-09-01,2003,9,38.299887568435366,41.023742121093946
2003-10-01,2003,10,38.299887568435366,40.99413643891322
